file_path,file_name,extension,size_kb,ctime,mtime,atime,path_depth,days_since_mod,days_since_created,days_since_accessed,hour_created,is_stale,size_log,cluster,cluster_label,risk_score
C:\Users\ASUS\Downloads\1-03b286cc-25e1-4463-8957-c7d49f104698.pdf,1-03b286cc-25e1-4463-8957-c7d49f104698.pdf,.pdf,223.29296875,2025-10-24 10:39:15.548638,2025-10-24 10:39:15.723163,2025-12-14 16:35:34.614153,5,88,88,37,10,False,5.412953093509183,1,Active Workspace,0.171
C:\Users\ASUS\Downloads\1-568704fb-48f9-40a7-b06a-d142549a6be2.pdf,1-568704fb-48f9-40a7-b06a-d142549a6be2.pdf,.pdf,225.169921875,2025-10-24 10:39:33.587401,2025-10-24 10:39:33.749725,2025-12-14 16:35:34.615157,5,88,88,37,10,False,5.421286583465654,1,Active Workspace,0.171
C:\Users\ASUS\Downloads\1-9b6c3c75-0e3e-4445-b642-8694f4780d08.pdf,1-9b6c3c75-0e3e-4445-b642-8694f4780d08.pdf,.pdf,226.025390625,2025-12-08 22:19:45.757931,2025-12-08 22:19:46.194220,2025-12-14 16:35:34.615157,5,42,42,37,22,False,5.425061864199893,1,Active Workspace,0.165
C:\Users\ASUS\Downloads\10.pdf,10.pdf,.pdf,253.1591796875,2025-08-21 23:59:27.135397,2025-08-21 23:59:27.910010,2025-12-14 16:35:34.620942,5,151,151,37,23,True,5.537960762412379,1,Active Workspace,0.183
C:\Users\ASUS\Downloads\10th_11zon.pdf,10th_11zon.pdf,.pdf,133.05859375,2025-09-05 12:25:28.468968,2025-09-05 12:25:18.055835,2025-12-14 16:35:34.613156,5,137,137,37,12,True,4.898276971168692,1,Active Workspace,0.167
C:\Users\ASUS\Downloads\12.pdf,12.pdf,.pdf,201.763671875,2025-08-21 23:58:35.369300,2025-08-21 23:58:36.045330,2025-12-14 16:35:34.636544,5,151,151,37,23,True,5.312041122904565,1,Active Workspace,0.178
C:\Users\ASUS\Downloads\12th_11zon.pdf,12th_11zon.pdf,.pdf,142.4697265625,2025-09-05 12:25:25.580860,2025-09-05 12:25:18.137414,2025-12-14 16:35:34.620434,5,137,137,37,12,True,4.966124048222234,1,Active Workspace,0.168
C:\Users\ASUS\Downloads\1714439859800.png,1714439859800.png,.png,480.919921875,2025-08-27 09:14:29.470742,2025-08-27 09:18:10.173015,2025-12-14 16:35:34.617381,5,146,146,37,9,True,6.1777779630594924,1,Active Workspace,0.196
C:\Users\ASUS\Downloads\1755876501387.jpeg,1755876501387.jpeg,.jpeg,248.7763671875,2025-08-22 21:01:45.061548,2025-08-22 21:01:45.535905,2026-01-19 19:15:21.535286,5,150,150,0,21,True,5.520565986280411,3,Dormant Giants (High Risk),0.142
C:\Users\ASUS\Downloads\2csedssyll.pdf,2csedssyll.pdf,.pdf,5243.49609375,2025-07-26 09:10:56.086680,2025-07-26 09:10:56.664612,2025-12-14 16:35:34.680522,5,178,178,37,9,True,8.564934442573467,1,Active Workspace,0.254
C:\Users\ASUS\Downloads\2nd sem.pdf,2nd sem.pdf,.pdf,271.341796875,2025-08-22 00:04:07.451130,2025-08-22 00:04:07.700684,2025-12-14 16:35:34.627491,5,151,151,37,0,True,5.607057883585363,1,Active Workspace,0.184
C:\Users\ASUS\Downloads\3973617_ForgotPass.pdf,3973617_ForgotPass.pdf,.pdf,148.267578125,2025-07-24 18:27:12.226690,2025-07-24 18:27:12.775562,2025-12-14 16:35:34.626488,5,180,180,37,18,True,5.005740521719527,1,Active Workspace,0.175
C:\Users\ASUS\Downloads\4th Sem.pdf,4th Sem.pdf,.pdf,234.8623046875,2025-07-31 20:44:18.402708,2025-07-31 20:39:13.101298,2025-12-14 16:35:34.631542,5,172,172,37,20,True,5.46324818003569,1,Active Workspace,0.184
C:\Users\ASUS\Downloads\5 AI tool that make money in 20258.pdf,5 AI tool that make money in 20258.pdf,.pdf,73.5927734375,2025-08-26 22:16:53.461022,2025-08-26 22:16:53.640336,2025-12-14 16:35:34.630275,5,146,146,37,22,True,4.312043631706443,1,Active Workspace,0.155
C:\Users\ASUS\Downloads\A20250725020325470.pdf,A20250725020325470.pdf,.pdf,11.306640625,2025-07-27 19:53:40.262902,2025-07-27 19:53:40.461278,2025-12-14 16:35:34.623490,5,176,176,37,19,True,2.510139004902548,1,Active Workspace,0.119
